position,priority
CEO,1
Founder,2
CEO/Owner,3
"Owner, CEO",4
CEO / Owner,5
CEO founder,6
CEO/Founder,7
Founder/CEO,8
Owner / CEO,9
Owner & CEO,10
"CEO, founder",11
"Founder, CEO",12
"Founder, CMO",13
CEO - Founder,14
CEO / Founder,15
CEO & Founder,16
CEO + Founder,17
"CEO, Co-Owner",18
CEO/President,19
Cofounder/CEO,20
"Director, CEO",21
Founder - CEO,22
"Founder , CEO",23
Founder / CEO,24
Founder & CEO,25
FOUNDER & CMO,26
Founder + CEO,27
Founder | CEO,28
Owner and CEO,29
"Owner, Co-CEO",30
President CEO,31
President/CEO,32
President\CEO,33
CEO & Co-Owner,34
"CEO, CoFounder",35
"CEO, President",36
CEO/Co-Founder,37
Co-Founder/CEO,38
"Cofounder, CEO",39
Director & CEO,40
"President, CEO",41
CEO & CoFounder,42
CEO & President,43
CEO and Founder,44
"CEO, Co Founder",45
"CEO, Co-Founder",46
"Co Founder, CEO",47
"Co-founder, CEO",48
Cofounder & CEO,49
Founder and CEO,50
President / CEO,51
President & CEO,52
"CEO , Co-Founder",53
CEO / Co-Founder,54
CEO & Co Founder,55
CEO & Co-founder,56
CEO | Co-Founder,57
CEO and Co-Owner,58
Co Founder / CEO,59
Co Founder & CEO,60
Co-founder - CEO,61
Co-founder (CEO),62
Co-Founder / CEO,63
Co-Founder & CEO,64
Co-Founder + CEO,65
Co-founder | CEO,66
Director and CEO,67
CEO and cofounder,68
CEO and President,69
"CEO, Co - founder",70
"CEO, Co-fondateur",71
Cofounder and CEO,72
president and ceo,73
CEO & Co - founder,74
CEO & Co-fondateur,75
CEO and Co Founder,76
CEO and co-founder,77
Co Founder and CEO,78
"CEO, Owner, Founder",79
CEO and Co - founder,80
CEO and Co-fondateur,81
"Company Founder, CEO",82
Chief Executive (CEO),83
Company Founder & CEO,84
President/CEO/Founder,85
"CEO, Co-Founder, Owner",86
"CEO, Founder, President",87
Chief Executive Officer,88
Company Founder and CEO,89
"President, CEO, Founder",90
"President, CEO & Founder",91
"Co-founder, President, CEO",92
"President, CEO and Founder",93
"Co-founder, President & CEO",94
Chief Executive Officer (CEO),95
